Date,Cash,Portfolio_Value,Total_Equity
2021-12-06,16.38,36230.72,36247.1
2021-12-07,16.38,36245.22,36261.59
2021-12-08,16.38,36564.19,36580.57
2021-12-09,16.38,36297.01,36313.39
2021-12-10,16.38,36380.49,36396.87
2021-12-13,16.38,36210.3,36226.68
2021-12-14,16.38,36063.38,36079.76
2021-12-15,16.38,36087.12,36103.5
2021-12-16,16.38,36057.82,36074.19
2021-12-17,16.38,35581.6,35597.98
2021-12-20,16.38,34892.83,34909.21
2021-12-21,16.38,34844.12,34860.49
2021-12-22,16.38,34798.63,34815.01
2021-12-23,16.38,34864.44,34880.82
2021-12-27,16.38,35213.78,35230.16
2021-12-28,16.38,34986.79,35003.17
2021-12-29,16.38,34807.98,34824.35
2021-12-30,16.38,34954.36,34970.74
2022-01-03,14.6,34634.75,34649.35
2022-01-04,6.55,35031.47,35038.01
2022-01-05,3.35,33731.44,33734.79
2022-01-06,8.67,33793.8,33802.47
2022-01-07,14.16,34363.35,34377.51
2022-01-10,3.27,33853.67,33856.94
2022-01-11,106.97,34229.72,34336.68
2022-01-12,2.13,35397.99,35400.12
2022-01-13,33.47,35600.11,35633.58
2022-01-14,33.47,35555.02,35588.49
2022-01-17,33.47,35181.12,35214.59
2022-01-18,33.47,35373.07,35406.54
2022-01-19,33.47,35519.88,35553.35
2022-01-20,33.47,35746.88,35780.35
2022-01-21,33.47,35387.69,35421.17
2022-01-24,33.47,35387.8,35421.27
2022-01-25,33.47,36509.26,36542.73
2022-01-26,33.47,36453.19,36486.66
2022-01-27,33.47,36844.29,36877.77
2022-01-28,33.47,36926.62,36960.09
2022-01-31,33.47,37198.33,37231.8
2022-02-01,33.47,37401.53,37435.0
2022-02-02,33.47,36944.66,36978.13
2022-02-03,33.47,36438.7,36472.18
2022-02-04,33.47,36186.48,36219.95
2022-02-07,33.47,36260.31,36293.79
2022-02-08,33.47,36366.29,36399.77
2022-02-09,33.47,36471.88,36505.35
2022-02-10,33.47,36517.43,36550.91
2022-02-11,33.47,36846.48,36879.95
2022-02-14,33.47,36582.95,36616.42
2022-02-15,33.47,36962.31,36995.79
2022-02-16,33.47,37195.6,37229.07
2022-02-17,33.47,36982.83,37016.3
2022-02-18,33.47,36798.98,36832.45
2022-02-21,33.47,36114.47,36147.94
2022-02-22,33.47,36096.27,36129.74
2022-02-23,33.47,36184.49,36217.96
2022-02-24,33.47,35354.18,35387.65
