Date,Cash,Portfolio_Value,Total_Equity
2018-01-08,1.01,18509.0,18510.02
2018-01-09,1.01,18430.79,18431.81
2018-01-10,1.01,18310.78,18311.79
2018-01-11,1.01,18536.86,18537.87
2018-01-12,1.01,18611.27,18612.29
2018-01-15,1.01,18780.34,18781.35
2018-01-16,1.01,18842.37,18843.38
2018-01-17,1.01,19075.5,19076.52
2018-01-18,1.01,18935.42,18936.44
2018-01-19,1.01,18975.37,18976.39
2018-01-22,1.01,18989.21,18990.22
2018-01-23,1.01,18751.09,18752.1
2018-01-24,1.01,19455.89,19456.91
2018-01-25,1.01,19455.89,19456.91
2018-01-26,1.01,19900.62,19901.63
2018-01-29,1.01,19740.82,19741.83
2018-01-30,1.01,19624.26,19625.27
2018-01-31,1.01,19757.64,19758.65
2018-02-01,1.01,19874.3,19875.31
2018-02-02,1.01,19561.17,19562.19
2018-02-05,1.01,19158.54,19159.55
2018-02-06,1.01,19503.87,19504.89
2018-02-07,1.01,19364.67,19365.68
2018-02-08,1.01,19038.45,19039.46
2018-02-09,1.01,18796.42,18797.43
2018-02-14,1.01,19262.42,19263.43
2018-02-15,1.01,19478.65,19479.67
2018-02-16,1.01,19509.26,19510.27
2018-02-19,1.01,19562.37,19563.38
2018-02-20,1.01,19791.79,19792.8
2018-02-21,1.01,19838.85,19839.87
2018-02-22,1.01,20107.23,20108.24
2018-02-23,1.01,20209.18,20210.19
2018-02-26,1.01,20312.7,20313.71
2018-02-27,1.01,20167.58,20168.6
2018-02-28,1.01,20025.48,20026.5
2018-03-01,1.01,20022.5,20023.51
2018-03-02,1.01,20171.21,20172.22
2018-03-05,1.01,20280.45,20281.46
2018-03-06,1.01,20258.34,20259.35
2018-03-07,1.01,20261.04,20262.05
2018-03-08,1.01,20255.06,20256.07
2018-03-09,1.01,20459.06,20460.08
2018-03-12,1.01,20462.54,20463.55
2018-03-13,1.01,20295.99,20297.01
2018-03-14,1.01,20097.46,20098.48
2018-03-15,1.01,20041.23,20042.24
2018-03-16,1.01,20080.23,20081.24
2018-03-19,1.01,19902.95,19903.96
2018-03-20,1.01,19899.83,19900.85
2018-03-21,1.01,20055.67,20056.68
2018-03-22,1.01,20105.6,20106.61
2018-03-23,1.01,19994.43,19995.45
2018-03-26,1.01,20129.81,20130.82
2018-03-27,1.01,19855.53,19856.54
2018-03-28,1.01,19745.51,19746.52
2018-03-29,1.01,19998.52,19999.53
2018-04-02,1.01,19727.12,19728.13
2018-04-03,1.01,19673.86,19674.88
2018-04-04,1.01,19670.07,19671.08
2018-04-05,1.01,19833.65,19834.66
2018-04-06,1.01,19696.15,19697.16
2018-04-09,1.01,19304.04,19305.05
2018-04-10,1.01,19463.11,19464.12
2018-04-11,1.01,19589.01,19590.02
2018-04-12,1.01,19667.14,19668.15
2018-04-13,1.01,19422.7,19423.72
2018-04-16,1.01,19074.56,19075.58
2018-04-17,1.01,19355.89,19356.9
2018-04-18,1.01,19597.33,19598.34
2018-04-19,1.01,19559.16,19560.17
2018-04-20,1.01,19539.91,19540.93
2018-04-23,1.01,19434.65,19435.66
2018-04-24,1.01,19350.11,19351.12
2018-04-25,1.01,19300.05,19301.06
2018-04-26,1.01,19631.42,19632.43
2018-04-27,1.01,19652.81,19653.83
2018-04-30,1.01,19581.14,19582.15
2018-05-02,1.01,19425.11,19426.13
2018-05-03,1.01,19168.7,19169.71
2018-05-04,1.01,19014.19,19015.2
2018-05-07,1.01,19009.32,19010.33
2018-05-08,1.01,19200.74,19201.75
2018-05-09,1.01,19644.76,19645.77
2018-05-10,1.01,20012.43,20013.44
2018-05-11,1.01,19826.96,19827.97
2018-05-14,1.01,19710.05,19711.06
2018-05-15,1.01,19716.28,19717.3
2018-05-16,1.01,20050.72,20051.74
2018-05-17,1.01,19425.31,19426.32
2018-05-18,1.01,19311.33,19312.35
2018-05-21,1.01,19070.16,19071.18
2018-05-22,1.01,19214.24,19215.25
2018-05-23,1.01,18879.01,18880.03
2018-05-24,1.01,18476.67,18477.68
2018-05-25,1.01,18253.32,18254.33
2018-05-28,1.01,17315.42,17316.43
2018-05-29,1.01,17549.41,17550.43
2018-05-30,1.01,17901.94,17902.95
2018-06-01,1.01,17738.51,17739.52
2018-06-04,1.01,17956.52,17957.54
2018-06-05,1.01,17449.63,17450.64
2018-06-06,1.01,17172.32,17173.34
2018-06-07,1.01,16865.99,16867.01
2018-06-08,1.01,16884.65,16885.66
2018-06-11,1.01,16689.72,16690.73
2018-06-12,1.01,16756.05,16757.06
2018-06-13,1.01,16648.61,16649.62
2018-06-14,1.01,16399.6,16400.61
2018-06-15,1.01,16418.85,16419.87
2018-06-18,1.01,16193.68,16194.69
2018-06-19,1.01,16533.76,16534.77
2018-06-20,1.01,16734.28,16735.29
2018-06-21,1.01,16366.54,16367.55
2018-06-22,1.01,16358.62,16359.63
2018-06-25,1.01,16565.52,16566.54
2018-06-26,1.01,16701.97,16702.98
2018-06-27,1.01,16507.88,16508.89
2018-06-28,1.01,16750.14,16751.15
2018-06-29,1.01,16980.41,16981.43
2018-07-02,1.01,17009.76,17010.77
2018-07-03,1.01,17289.06,17290.07
2018-07-04,1.01,17492.55,17493.57
2018-07-05,1.01,17328.9,17329.91
2018-07-06,1.01,17334.01,17335.03
2018-07-10,1.01,17432.7,17433.71
2018-07-11,1.01,17463.23,17464.24
2018-07-12,1.01,17706.72,17707.73
2018-07-13,1.01,17991.45,17992.46
2018-07-16,1.01,18016.62,18017.63
2018-07-17,1.01,18493.64,18494.66
2018-07-18,1.01,18354.41,18355.43
2018-07-19,1.01,18429.83,18430.84
2018-07-20,1.01,18807.54,18808.55
2018-07-23,1.01,18687.84,18688.85
2018-07-24,1.01,18916.12,18917.13
2018-07-25,1.01,19108.81,19109.82
2018-07-26,1.01,18838.06,18839.07
2018-07-27,1.01,18847.93,18848.95
2018-07-30,1.01,18954.22,18955.24
2018-07-31,1.01,18854.99,18856.01
2018-08-01,1.01,18972.29,18973.3
2018-08-02,1.01,18914.94,18915.95
2018-08-03,1.01,19228.88,19229.89
2018-08-06,1.01,19183.72,19184.73
2018-08-07,1.01,19122.04,19123.05
2018-08-08,1.01,18926.34,18927.36
2018-08-09,1.01,19008.3,19009.31
2018-08-10,1.01,18521.71,18522.72
2018-08-13,1.01,18644.31,18645.32
2018-08-14,1.01,18852.87,18853.88
2018-08-15,1.01,18636.52,18637.54
2018-08-16,1.01,18611.23,18612.24
2018-08-17,1.01,18411.64,18412.65
2018-08-20,1.01,18471.42,18472.44
2018-08-21,1.01,18194.22,18195.23
2018-08-22,1.01,18512.08,18513.09
2018-08-23,1.01,18289.86,18290.87
2018-08-24,1.01,18307.45,18308.46
2018-08-27,1.01,18651.06,18652.07
2018-08-28,1.01,18590.0,18591.02
2018-08-29,1.01,18797.42,18798.43
2018-08-30,1.01,18445.07,18446.08
2018-08-31,1.01,18508.27,18509.29
2018-09-03,1.01,18349.51,18350.52
2018-09-04,1.01,18119.73,18120.74
2018-09-05,1.01,18192.9,18193.91
2018-09-06,1.01,18403.37,18404.38
2018-09-10,1.01,18419.38,18420.4
2018-09-11,1.01,18035.99,18037.0
2018-09-12,1.01,17951.32,17952.33
2018-09-13,1.01,17914.29,17915.31
2018-09-14,1.01,18074.55,18075.57
2018-09-17,1.01,18345.65,18346.66
2018-09-18,1.01,18638.19,18639.2
2018-09-19,1.01,18506.27,18507.29
